ἡ χώρα<br>τῶν ________; τῶν χωρῶν
τὸ τέρας<br>τῷ ________; τῷ τέρατῐ
τὸ τέρας<br>τοῖς ________; τοῖς τέρασῐν
τὸ τέρας<br>τὰ ________; τὰ τέρατᾰ
τὸ κέρας<br>τῷ ________; τῷ κέρατῐ
τὸ κέρας<br>τοῖν ________; τοῖν κεράτοιν
τὸ κέρας<br>τὰ ________; τὰ κέρατᾰ
τὸ κέρας<br>τὼ ________; τὼ κέρατε
τὸ κέρας<br>τῶν ________; τῶν κεράτων
τὸ κέρας<br>τοῖς ________; τοῖς κέρασῐν
τὸ κέρας<br>τοῦ ________; τοῦ κέρατος
τὸ κέρας<br>τὸ ________; τὸ κέρας
τὸ κέρας<br>ῶ ________; ῶ κέρας
τὸ κέρας<br>τοῖς ________; τοῖς κέρασῐ
ὁ θήρ<br>τὼ ________; τὼ θῆρε
ὁ θήρ<br>τοῖς ________; τοῖς θηρσίν
ὁ θήρ<br>τοῖς ________; τοῖς θηρσί
ὁ θήρ<br>τοῦ ________; τοῦ θηρός
ὁ θήρ<br>ὁ ________; ὁ θήρ
ὁ θήρ<br>ῶ ________; ῶ θήρ
ὁ θήρ<br>τοὺς ________; τοὺς θῆρᾰς
ὁ θήρ<br>τὸν ________; τὸν θῆρᾰ
ὁ θήρ<br>τοῖν ________; τοῖν θηροῖν
ὁ θήρ<br>οἱ ________; οἱ θῆρες
ὁ θήρ<br>τῶν ________; τῶν θηρῶν
ὁ θήρ<br>τῷ ________; τῷ θηρί
ὁ ῥήτωρ<br>τοὺς ________; τοὺς ῥήτορᾰς
ὁ ῥήτωρ<br>τοῦ ________; τοῦ ῥήτορος
ὁ ῥήτωρ<br>τὸν ________; τὸν ῥήτορᾰ
ὁ ῥήτωρ<br>τῷ ________; τῷ ῥήτορῐ
ὁ ῥήτωρ<br>τὼ ________; τὼ ῥήτορε
ὁ ῥήτωρ<br>τοῖς ________; τοῖς ῥήτορσῐ
ὁ ῥήτωρ<br>ὁ ________; ὁ ῥήτωρ
ὁ ῥήτωρ<br>ῶ ________; ῶ ῥήτωρ
ὁ ῥήτωρ<br>τοῖς ________; τοῖς ῥήτορσῐν
ὁ ῥήτωρ<br>τοῖν ________; τοῖν ῥητόροιν
ὁ ῥήτωρ<br>τῶν ________; τῶν ῥητόρων
ὁ ῥήτωρ<br>οἱ ________; οἱ ῥήτορες
ἡ ῥίς<br>ἡ ________; ἡ ῥίς
ἡ ῥίς<br>ῶ ________; ῶ ῥίς
ἡ ῥίς<br>αἱ ________; αἱ ῥῖνες
ἡ ῥίς<br>τὴν ________; τὴν ῥῖνᾰ
ἡ ῥίς<br>ταῖς ________; ταῖς ῥισί
ἡ ῥίς<br>τοῖν ________; τοῖν ῥινοῖν
ἡ ῥίς<br>τὰς ________; τὰς ῥῖνᾰς
ἡ ῥίς<br>τὼ ________; τὼ ῥῖνε
ἡ ῥίς<br>τῆς ________; τῆς ῥινός
ἡ ῥίς<br>τῇ ________; τῇ ῥινί
ἡ ῥίς<br>τῶν ________; τῶν ῥινῶν
ἡ ῥίς<br>ταῖς ________; ταῖς ῥισίν
ὁ ἡγεμών<br>τοῦ ________; τοῦ ἡγεμόνος
ὁ ἡγεμών<br>τοῖν ________; τοῖν ἡγεμόνοιν
ὁ ἡγεμών<br>τοῖς ________; τοῖς ἡγεμοῦσῐ
ὁ ἡγεμών<br>τῷ ________; τῷ ἡγεμόνῐ
ὁ ἡγεμών<br>τοὺς ________; τοὺς ἡγεμόνᾰς
ὁ ἡγεμών<br>τοῖς ________; τοῖς ἡγεμοῦσῐν
ὁ ἡγεμών<br>τὸν ________; τὸν ἡγεμόνᾰ
ὁ ἡγεμών<br>οἱ ________; οἱ ἡγεμόνες
ὁ ἡγεμών<br>τὼ ________; τὼ ἡγεμόνε
ὁ ἡγεμών<br>τῶν ________; τῶν ἡγεμόνων
ὁ ἡγεμών<br>ὁ ________; ὁ ἡγεμών
ὁ ἡγεμών<br>ῶ ________; ῶ ἡγεμών
ὁ ἀγών<br>τὼ ________; τὼ ἀγῶνε
ὁ ἀγών<br>τοὺς ________; τοὺς ἀγῶνᾰς
ὁ ἀγών<br>τὸν ________; τὸν ἀγῶνᾰ
ὁ ἀγών<br>τοῦ ________; τοῦ ἀγῶνος
ὁ ἀγών<br>οἱ ________; οἱ ἀγῶνες
ὁ ἀγών<br>τοῖν ________; τοῖν ἀγώνοιν
ὁ ἀγών<br>τοῖς ________; τοῖς ἀγῶσῐν
ὁ ἀγών<br>τῶν ________; τῶν ἀγώνων
ὁ ἀγών<br>τοῖς ________; τοῖς ἀγῶσῐ
ὁ ἀγών<br>ὁ ________; ὁ ἀγών
ὁ ἀγών<br>ῶ ________; ῶ ἀγών
ὁ ἀγών<br>τῷ ________; τῷ ἀγῶνῐ
ὁ ποιμήν<br>τοὺς ________; τοὺς ποιμένᾰς
ὁ ποιμήν<br>ὁ ________; ὁ ποιμήν
ὁ ποιμήν<br>ῶ ________; ῶ ποιμήν
ὁ ποιμήν<br>τοῦ ________; τοῦ ποιμένος
ὁ ποιμήν<br>τὸν ________; τὸν ποιμένᾰ
ὁ ποιμήν<br>οἱ ________; οἱ ποιμένες
ὁ ποιμήν<br>τοῖς ________; τοῖς ποιμεῖσῐν
ὁ ποιμήν<br>τῶν ________; τῶν ποιμένων
ὁ ποιμήν<br>τοῖς ________; τοῖς ποιμεῖσῐ
ὁ ποιμήν<br>τῷ ________; τῷ ποιμένῐ
ὁ ποιμήν<br>τὼ ________; τὼ ποιμένε
ὁ ποιμήν<br>τοῖν ________; τοῖν ποιμένοιν
ὁ πατήρ<br>τὸν ________; τὸν πᾰτέρᾰ
ὁ πατήρ<br>τῷ ________; τῷ πᾰτέρῐ
ὁ πατήρ<br>τὼ ________; τὼ πᾰτέρε
ὁ πατήρ<br>τῶν ________; τῶν πᾰτέρων
ὁ πατήρ<br>τοῖς ________; τοῖς πᾰτράσῐν
ὁ πατήρ<br>οἱ ________; οἱ πᾰτέρες
ὁ πατήρ<br>τοῖς ________; τοῖς πᾰτράσῐ
ὁ πατήρ<br>ὁ ________; ὁ πᾰτήρ
ὁ πατήρ<br>τοῖν ________; τοῖν πᾰτέροιν
ὁ πατήρ<br>τοὺς ________; τοὺς πᾰτέρᾰς
ὁ πατήρ<br>ῶ ________; ῶ πάτερ
ὁ πατήρ<br>τοῦ ________; τοῦ πᾰτέρος
ἡ μήτηρ<br>τὰς ________; τὰς μητέρας
ἡ μήτηρ<br>ταῖς ________; ταῖς μητράσιν
ἡ μήτηρ<br>τοῖν ________; τοῖν μητέροιν
ἡ μήτηρ<br>τὴν ________; τὴν μητέρα
ἡ μήτηρ<br>ῶ ________; ῶ μῆτερ
ἡ μήτηρ<br>τὼ ________; τὼ μητέρε
ἡ μήτηρ<br>ταῖς ________; ταῖς μητράσι
ἡ μήτηρ<br>τῆς ________; τῆς μήτρός
ἡ μήτηρ<br>τῇ ________; τῇ μητρί
ἡ μήτηρ<br>αἱ ________; αἱ μητέρες
ἡ μήτηρ<br>τῶν ________; τῶν μητέραν
ἡ μήτηρ<br>ἡ ________; ἡ μήτηρ
ἡ θυγάτηρ<br>τῆς ________; τῆς θυγατέρος
ἡ θυγάτηρ<br>τοῖν ________; τοῖν θυγατέροιν
ἡ θυγάτηρ<br>ἡ ________; ἡ θυγάτηρ
ἡ θυγάτηρ<br>ταῖς ________; ταῖς θυγατράσι
ἡ θυγάτηρ<br>τὰς ________; τὰς θυγατέρᾰς
ἡ θυγάτηρ<br>τὼ ________; τὼ θυγατέρε
ἡ θυγάτηρ<br>ῶ ________; ῶ θύγατερ
ἡ θυγάτηρ<br>τὴν ________; τὴν θυγατέρᾰ
ἡ θυγάτηρ<br>αἱ ________; αἱ θυγατέρες
ἡ θυγάτηρ<br>τῶν ________; τῶν θυγατέρων
ἡ θυγάτηρ<br>τῇ ________; τῇ θυγατέρῐ
ὁ ἀνήρ<br>τοὺς ________; τοὺς ἄνδρας
ὁ ἀνήρ<br>τὸν ________; τὸν ἄνδρα
ὁ ἀνήρ<br>τὼ ________; τὼ ἄνδρε
ὁ ἀνήρ<br>ὁ ________; ὁ ἀνήρ
ὁ ἀνήρ<br>τῶν ________; τῶν ἀνδρῶν
ὁ ἀνήρ<br>τῷ ________; τῷ ἀνδρί
ὁ ἀνήρ<br>τοῖς ________; τοῖς ἀνδράσι
ὁ ἀνήρ<br>ῶ ________; ῶ ἄνερ
ὁ ἀνήρ<br>τοῦ ________; τοῦ ἀνδρός
ὁ ἀνήρ<br>τοῖς ________; τοῖς ἀνδράσιν
ὁ ἀνήρ<br>τοῖν ________; τοῖν ἀνδροῖν
ὁ ἀνήρ<br>οἱ ________; οἱ ἄνδρες
ὁ Σωκράτης<br>τὸν ________; τὸν Σωκράτη
ὁ Σωκράτης<br>ῶ ________; ῶ Σώκρατες
ὁ Σωκράτης<br>ὁ ________; ὁ Σωκράτης
ὁ Σωκράτης<br>τῷ ________; τῷ Σωκράτει
ὁ Σωκράτης<br>τοῦ ________; τοῦ Σωκράτεος
ὁ Σωκράτης<br>τὸν ________; τὸν Σωκράτεα
ὁ Σωκράτης<br>τοῦ ________; τοῦ Σωκράτους
ὁ Δημοσθένης<br>τοῦ ________; τοῦ Δημοσθένους
ὁ Δημοσθένης<br>τὸν ________; τὸν Δημοσθένη
ὁ Δημοσθένης<br>τῷ ________; τῷ Δημοσθένει
ὁ Δημοσθένης<br>ὁ ________; ὁ Δημοσθένης
ὁ Δημοσθένης<br>ῶ ________; ῶ Δημόσθενες
ἡ τριήρης<br>τῶν ________; τῶν τριήρων
ἡ τριήρης<br>τῆς ________; τῆς τριήρεος
ἡ τριήρης<br>ἡ ________; ἡ τριήρης
ἡ τριήρης<br>τὴν ________; τὴν τριήρη
ἡ τριήρης<br>τῶν ________; τῶν τριηρέων
ἡ τριήρης<br>τοῖν ________; τοῖν τριηρέοιν
ἡ τριήρης<br>τὴν ________; τὴν τριήρεα
ἡ τριήρης<br>αἱ ________; αἱ τριήρεες
ἡ τριήρης<br>ταῖς ________; ταῖς τριήρεσσι
ἡ τριήρης<br>τοῖν ________; τοῖν τριήροιν
ἡ τριήρης<br>ταῖς ________; ταῖς τριήρεσιν
ἡ τριήρης<br>αἱ ________; αἱ τριήρεις
ἡ τριήρης<br>τὰς ________; τὰς τριήρεις
ἡ τριήρης<br>τῇ ________; τῇ τριήρει
ἡ τριήρης<br>τὼ ________; τὼ τριήρει
ἡ τριήρης<br>τὼ ________; τὼ τριήρεε
ἡ τριήρης<br>ῶ ________; ῶ τριῆρες
ἡ τριήρης<br>τῆς ________; τῆς τριήρους
ἡ τριήρης<br>ταῖς ________; ταῖς τριήρεσι
τὸ γένος<br>τοῖν ________; τοῖν γενέοιν
τὸ γένος<br>τοῖς ________; τοῖς γένεσσῐν
τὸ γένος<br>τῶν ________; τῶν γενέων
τὸ γένος<br>τὰ ________; τὰ γένεᾰ
τὸ γένος<br>τῷ ________; τῷ γένεϊ
τὸ γένος<br>τὼ ________; τὼ γένεε
τὸ γένος<br>τὸ ________; τὸ γένος
τὸ γένος<br>ῶ ________; ῶ γένος
τὸ γένος<br>τοῦ ________; τοῦ γένεος
τὸ γένος<br>τοῖς ________; τοῖς γένεσσῐ
τὸ γέρας<br>τὼ ________; τὼ γέρᾱ
τὸ γέρας<br>τὰ ________; τὰ γέρᾱ
τὸ γέρας<br>τοῦ ________; τοῦ γέραος
τὸ γέρας<br>τοῖς ________; τοῖς γέρασιν
τὸ γέρας<br>τὰ ________; τὰ γέραα
τὸ γέρας<br>τοῖς ________; τοῖς γέρασσι
τὸ γέρας<br>τοῖν ________; τοῖν γεράοιν
τὸ γέρας<br>τοῖς ________; τοῖς γέρασι
τὸ γέρας<br>τὼ ________; τὼ γέραε
τὸ γέρας<br>τῷ ________; τῷ γέραι
τὸ γέρας<br>τοῖν ________; τοῖν γερῷν
τὸ γέρας<br>τῶν ________; τῶν γερῶν
τὸ γέρας<br>τὸ ________; τὸ γέρας
τὸ γέρας<br>ῶ ________; ῶ γέρας
τὸ γέρας<br>τῶν ________; τῶν γεράων
τὸ γέρας<br>τοῦ ________; τοῦ γέρως
τὸ δέος<br>τοῦ ________; τοῦ δέεος
τὸ δέος<br>τὸ ________; τὸ δέος
τὸ δέος<br>ῶ ________; ῶ δέος
τὸ δέος<br>τοῦ ________; τοῦ δέους
τὸ δέος<br>τῷ ________; τῷ δέει
ὁ Περικλῆς<br>τὸν ________; τὸν Περικλέᾱ
ὁ Περικλῆς<br>ὁ ________; ὁ Περικλῆς
ὁ Περικλῆς<br>ῶ ________; ῶ Περίκλεις
ὁ Περικλῆς<br>τοῦ ________; τοῦ Περικλέους
ὁ Περικλῆς<br>τῷ ________; τῷ Περικλεῖ
ἡ αἰδώς<br>τὴν ________; τὴν αἰδόα
ἡ αἰδώς<br>τῇ ________; τῇ αἰδοῖ
ἡ αἰδώς<br>ἡ ________; ἡ αἰδώς
ἡ αἰδώς<br>ῶ ________; ῶ αἰδώς
ἡ αἰδώς<br>τῇ ________; τῇ αἰδόι
ἡ αἰδώς<br>τῆς ________; τῆς αἰδόος
ἡ αἰδώς<br>τῆς ________; τῆς αἰδοῦς
ἡ αἰδώς<br>τὴν ________; τὴν αἰδῶ
ὁ ἥρως<br>τὸν ________; τὸν ἥρωᾰ
ὁ ἥρως<br>τοῦ ________; τοῦ ἥρωος
ὁ ἥρως<br>τῶν ________; τῶν ἡρώων
ὁ ἥρως<br>τοὺς ________; τοὺς ἥρωᾰς
ὁ ἥρως<br>ὁ ________; ὁ ἥρως
ὁ ἥρως<br>ῶ ________; ῶ ἥρως
ὁ ἥρως<br>τοῖς ________; τοῖς ἥρωσῐν
ὁ ἥρως<br>οἱ ________; οἱ ἥρωες
ὁ ἥρως<br>τὼ ________; τὼ ἥρωε
ὁ ἥρως<br>τῷ ________; τῷ ἥρωῐ
ὁ ἥρως<br>τοῖς ________; τοῖς ἥρωσῐ
ὁ ἥρως<br>τοῖν ________; τοῖν ἡρώοιν
ἡ πόλις<br>ἡ ________; ἡ πόλῐς
ἡ πόλις<br>τῇ ________; τῇ πόλει
ἡ πόλις<br>τὼ ________; τὼ πόλει
ἡ πόλις<br>αἱ ________; αἱ πόλεις
ἡ πόλις<br>τὰς ________; τὰς πόλεις
ἡ πόλις<br>τῶν ________; τῶν πόλεων
ἡ πόλις<br>ῶ ________; ῶ πόλῐ
ἡ πόλις<br>ταῖς ________; ταῖς πόλεσῐ
ἡ πόλις<br>τοῖν ________; τοῖν πολέοιν
ἡ πόλις<br>τῆς ________; τῆς πόλεως
ἡ πόλις<br>ταῖς ________; ταῖς πόλεσῐν
ἡ πόλις<br>τὴν ________; τὴν πόλῐν
ὁ πῆχυς<br>τοῖς ________; τοῖς πήχεσι
ὁ πῆχυς<br>τῶν ________; τῶν πήχεων
ὁ πῆχυς<br>τοῖς ________; τοῖς πήχεσιν
ὁ πῆχυς<br>οἱ ________; οἱ πήχεις
ὁ πῆχυς<br>τοὺς ________; τοὺς πήχεις
ὁ πῆχυς<br>τῷ ________; τῷ πήχει
ὁ πῆχυς<br>τὼ ________; τὼ πήχει
ὁ πῆχυς<br>τοῖν ________; τοῖν πηχέοιν
ὁ πῆχυς<br>τὸν ________; τὸν πῆχυν
ὁ πῆχυς<br>ὁ ________; ὁ πῆχυς
ὁ πῆχυς<br>τοῦ ________; τοῦ πήχεως
ὁ πῆχυς<br>ῶ ________; ῶ πῆχυ
τὸ ἄστυ<br>τοῖς ________; τοῖς ἄστεσι
τὸ ἄστυ<br>τὰ ________; τὰ ἄστη
τὸ ἄστυ<br>τοῦ ________; τοῦ ἄστεως
τὸ ἄστυ<br>τῶν ________; τῶν ἄστεων
τὸ ἄστυ<br>τοῖν ________; τοῖν ἀστέοιν
τὸ ἄστυ<br>τῷ ________; τῷ ἄστει
τὸ ἄστυ<br>τὼ ________; τὼ ἄστει
τὸ ἄστυ<br>τὸ ________; τὸ ἄστυ
τὸ ἄστυ<br>ῶ ________; ῶ ἄστυ
τὸ ἄστυ<br>τοῖς ________; τοῖς ἄστεσιν
ὁ/ἡ σῦς<br>οἱ/αἱ ________; οἱ/αἱ σύες
ὁ/ἡ σῦς<br>τοὺς/τὰς ________; τοὺς/τὰς σῦς
ὁ/ἡ σῦς<br>ὁ/ἡ ________; ὁ/ἡ σῦς
ὁ/ἡ σῦς<br>ῶ/ῶ ________; ῶ/ῶ σῦ
ὁ/ἡ σῦς<br>τῶν/τῶν ________; τῶν/τῶν συῶν
ὁ/ἡ σῦς<br>τοῖν/τοῖν ________; τοῖν/τοῖν συοῖν
ὁ/ἡ σῦς<br>τὸν/τὴν ________; τὸν/τὴν σῦν
ὁ/ἡ σῦς<br>τοῖς/ταῖς ________; τοῖς/ταῖς συσί
ὁ/ἡ σῦς<br>τοῖς/ταῖς ________; τοῖς/ταῖς συσίν
ὁ/ἡ σῦς<br>τῷ/τῇ ________; τῷ/τῇ συΐ
ὁ/ἡ σῦς<br>τὼ/τὼ ________; τὼ/τὼ σύε
ὁ/ἡ σῦς<br>τοῦ/τῆς ________; τοῦ/τῆς συός
ὁ ἰχθύς<br>τῷ ________; τῷ ἰχθύϊ
ὁ ἰχθύς<br>τοῖν ________; τοῖν ἰχθύοιν
ὁ ἰχθύς<br>ὁ ________; ὁ ἰχθύς
ὁ ἰχθύς<br>τῶν ________; τῶν ἰχθύων
ὁ ἰχθύς<br>τοῖς ________; τοῖς ἰχθύσῐ
ὁ ἰχθύς<br>τοὺς ________; τοὺς ἰχθῦς
ὁ ἰχθύς<br>οἱ ________; οἱ ἰχθύες
ὁ ἰχθύς<br>τὸν ________; τὸν ἰχθύν
ὁ ἰχθύς<br>τοῦ ________; τοῦ ἰχθύος
ὁ ἰχθύς<br>τὼ ________; τὼ ἰχθύε
ὁ ἰχθύς<br>ῶ ________; ῶ ἰχθύ
ὁ ἰχθύς<br>τοῖς ________; τοῖς ἰχθύσῐν
ὁ/ἡ οἶς<br>τοὺς/τὰς ________; τοὺς/τὰς οἶς
ὁ/ἡ οἶς<br>ὁ/ἡ ________; ὁ/ἡ οἶς
ὁ/ἡ οἶς<br>τοῖν/τοῖν ________; τοῖν/τοῖν οἰοῖν
ὁ/ἡ οἶς<br>τοῦ/τῆς ________; τοῦ/τῆς οἰός
ὁ/ἡ οἶς<br>ῶ/ῶ ________; ῶ/ῶ οἶ
ὁ/ἡ οἶς<br>τῶν/τῶν ________; τῶν/τῶν οἰῶν
ὁ/ἡ οἶς<br>τῷ/τῇ ________; τῷ/τῇ οἰί
ὁ/ἡ οἶς<br>τοῖς/ταῖς ________; τοῖς/ταῖς οἰσί
ὁ/ἡ οἶς<br>τοῖς/ταῖς ________; τοῖς/ταῖς οἰσίν
ὁ/ἡ οἶς<br>τὼ/τὼ ________; τὼ/τὼ οἶε
ὁ/ἡ οἶς<br>οἱ/αἱ ________; οἱ/αἱ οἶες
ὁ/ἡ οἶς<br>τὸν/τὴν ________; τὸν/τὴν οἶν
ὁ βασιλεύς<br>τοῦ ________; τοῦ βᾰσῐλέως
ὁ βασιλεύς<br>τὸν ________; τὸν βᾰσῐλέᾰ
ὁ βασιλεύς<br>ὁ ________; ὁ βᾰσῐλεύς
ὁ βασιλεύς<br>ῶ ________; ῶ βᾰσῐλεῦ
ὁ βασιλεύς<br>τοὺς ________; τοὺς βᾰσῐλέᾰς
ὁ βασιλεύς<br>τοῖν ________; τοῖν βᾰσῐλέοιν
ὁ βασιλεύς<br>τοῖς ________; τοῖς βᾰσῐλεῦσῐ
ὁ βασιλεύς<br>τὼ ________; τὼ βᾰσῐλῆ
ὁ βασιλεύς<br>οἱ ________; οἱ βᾰσῐλεῖς
ὁ βασιλεύς<br>τῷ ________; τῷ βᾰσῐλεῖ
ὁ βασιλεύς<br>τοῖς ________; τοῖς βᾰσῐλεῦσῐν
ὁ βασιλεύς<br>τῶν ________; τῶν βᾰσῐλέων
ἡ γραῦς<br>ἡ ________; ἡ γραῦς
ἡ γραῦς<br>τὰς ________; τὰς γραῦς
ἡ γραῦς<br>τοῖν ________; τοῖν γρᾱοῖν
ἡ γραῦς<br>ταῖς ________; ταῖς γραυσίν
ἡ γραῦς<br>ῶ ________; ῶ γραῦ
ἡ γραῦς<br>τῇ ________; τῇ γρᾱῑ́
ἡ γραῦς<br>τὼ ________; τὼ γρᾶε
ἡ γραῦς<br>ταῖς ________; ταῖς γραυσί
ἡ γραῦς<br>τῶν ________; τῶν γρᾱῶν
ἡ γραῦς<br>τῆς ________; τῆς γρᾱός
ἡ γραῦς<br>αἱ ________; αἱ γρᾶες
ἡ γραῦς<br>τὴν ________; τὴν γραῦν
ἡ ναῦς<br>τὴν ________; τὴν ναῦν
ἡ ναῦς<br>τῶν ________; τῶν νεῶν
ἡ ναῦς<br>ταῖς ________; ταῖς ναυσίν
ἡ ναῦς<br>τοῖν ________; τοῖν νεοῖν
ἡ ναῦς<br>τῇ ________; τῇ νηΐ
ἡ ναῦς<br>αἱ ________; αἱ νῆες
ἡ ναῦς<br>ῶ ________; ῶ ναῦ
ἡ ναῦς<br>ταῖς ________; ταῖς ναυσί
ἡ ναῦς<br>ἡ ________; ἡ ναῦς
ἡ ναῦς<br>τὰς ________; τὰς ναῦς
ἡ ναῦς<br>τῆς ________; τῆς νεώς
ἡ ναῦς<br>τὼ ________; τὼ νῆε
ὁ/ἡ βοῦς<br>τοῖς/ταῖς ________; τοῖς/ταῖς βουσί
ὁ/ἡ βοῦς<br>τοῦ/τῆς ________; τοῦ/τῆς βοός
ὁ/ἡ βοῦς<br>τῷ/τῇ ________; τῷ/τῇ βοΐ
ὁ/ἡ βοῦς<br>τοῖς/ταῖς ________; τοῖς/ταῖς βουσίν
ὁ/ἡ βοῦς<br>τὸν/τὴν ________; τὸν/τὴν βοῦν
ὁ/ἡ βοῦς<br>τοὺς/τὰς ________; τοὺς/τὰς βοῦς
ὁ/ἡ βοῦς<br>ὁ/ἡ ________; ὁ/ἡ βοῦς
ὁ/ἡ βοῦς<br>ῶ/ῶ ________; ῶ/ῶ βοῦ
ὁ/ἡ βοῦς<br>τοῖν/τοῖν ________; τοῖν/τοῖν βοοῖν
ὁ/ἡ βοῦς<br>οἱ/αἱ ________; οἱ/αἱ βόες
ὁ/ἡ βοῦς<br>τὼ/τὼ ________; τὼ/τὼ βόε
ὁ/ἡ βοῦς<br>τῶν/τῶν ________; τῶν/τῶν βοῶν
ἡ πειθώ<br>τῆς ________; τῆς πειθοῦς
ἡ πειθώ<br>τῇ ________; τῇ πειθοῖ
ἡ πειθώ<br>ῶ ________; ῶ πειθοῖ
ἡ πειθώ<br>ἡ ________; ἡ πειθώ
ἡ πειθώ<br>τὴν ________; τὴν πειθώ
